Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
"5bdrm Duplex in Ocean Bay Estate, Lekki for sale",600.0,5,5,Semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,False,155000000
"2bdrm Bungalow in Lape Estate, Karu for sale",50.0,2,2,Unfurnished,"Abuja (FCT), Karu",Karu,Abuja(FCT),diamond,22000000
3bdrm Apartment in Abijo Gra for sale,600.0,3,3,Unfurnished,"Ibeju, Abijo",Abijo,Lagos State,premium,65000000
4bdrm Duplex in Mabushi District for sale,1000.0,4,6,Semi-furnished,"Abuja (FCT), Mabushi",Mabushi,Abuja(FCT),diamond,250000000
2bdrm Block of Flats in New Oko Oba Abule for sale,400.0,2,2,Semi-furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,enterprise,200000000
4bdrm Duplex in Oko Oba Scheme 2 for sale,250.0,4,4,Semi-furnished,"Agege, Oko-Oba",Oko-Oba,Lagos State,enterprise,230000000
"16bdrm Block of Flats in River Park Estate, Lugbe District for sale",802.0,16,20,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja(FCT),False,410000000
Furnished 6bdrm Duplex in Guzape District for sale,700.0,6,6,Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja(FCT),False,620000000
Furnished 2bdrm Apartment in Eko Atlantic for sale,400.0,2,2,Furnished,"Lagos State, Eko Atlantic",Eko Atlantic,Lagos State,enterprise,750000000
3bdrm Duplex in Lokogoma for sale,500.0,3,4,Unfurnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja(FCT),diamond,75000000
5bdrm Duplex in Omole Phase 2 Lagos for sale,400.0,5,6,Semi-furnished,"Ikeja, Omole Phase 2",Omole Phase 2,Lagos State,diamond,700000000
5bdrm Duplex in Magodo for sale,350.0,5,5,Semi-furnished,"Lagos State, Magodo",Magodo,Lagos State,diamond,420000000
3bdrm Duplex in Lekki for Sale,500.0,3,4,Semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,500000000
4bdrm Duplex in Jabi District Abuja for sale,1000.0,4,5,Semi-furnished,"Abuja (FCT), Jabi",Jabi,Abuja(FCT),diamond,400000000
3bdrm Block of Flats in Katampe District By for sale,1000.0,3,4,Semi-furnished,"Katampe, Katampe (Main)",Katampe (Main),Lagos State,diamond,200000000
"3bdrm Duplex in Kabusa Garden Estate, Lokogoma for sale",1000.0,3,4,Semi-furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja(FCT),diamond,120000000
4bdrm Duplex in Wuye District Abuja for sale,1000.0,4,5,Semi-furnished,"Abuja (FCT), Wuye",Wuye,Abuja(FCT),diamond,300000000
5bdrm Duplex in Jahi Gilmore Tarred for sale,3000.0,5,6,Semi-furnished,"Abuja (FCT), Jahi",Jahi,Abuja(FCT),diamond,600000000
Furnished 4bdrm Duplex in Lekki for sale,450.0,4,4,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,enterprise,650000000
3bdrm Block of Flats in Estate Within New for sale,550.0,3,3,Semi-furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,enterprise,180000000
Furnished 5bdrm Duplex in Unilag Estate Magodo for sale,360.0,5,5,Furnished,"Ojodu, Magodo Isheri",Magodo Isheri,Lagos State,diamond,450000000
2bdrm Bungalow in Estate In Lokogoma for sale,500.0,2,2,Unfurnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja(FCT),False,87000000
Furnished 3bdrm Apartment in Osborne Phase 2 for sale,300.0,3,3,Furnished,"Ikoyi, Osborne Foreshore Estate",Osborne Foreshore Estate,Lagos State,enterprise,380000000
4bdrm Duplex in Prestigious Estate for sale,350.0,4,4,Semi-furnished,"Lagos State, Ogba",Ogba,Lagos State,diamond,370000000
"2bdrm Block of Flats in Iliasu Road, Egbe Idimu for Sale",620.0,2,2,Unfurnished,"Lagos State, Egbe/Idimu",Egbe/Idimu,Lagos State,diamond,80000000
Furnished 4bdrm Duplex in Gbagada Estate for sale,600.0,4,4,Furnished,"Lagos State, Gbagada",Gbagada,Lagos State,diamond,220000000
"4bdrm Duplex in Ogufayo, Elerangbe for sale",1000.0,4,4,Unfurnished,"Ibeju, Elerangbe",Elerangbe,Lagos State,vip,130000000
3bdrm Duplex in Ajah for sale,600.0,3,3,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,87000000
Furnished 1bdrm Apartment in Lugbe Federal for sale,50.0,1,1,Furnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja(FCT),False,4500000
4bdrm Duplex in Knowledge Estate for sale,1000.0,4,5,Semi-furnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja(FCT),diamond,250000000
4bdrm Duplex in Guzape Main Abuja for sale,2000.0,4,5,Semi-furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja(FCT),diamond,350000000
4bdrm Duplex in Obawole Ifako Ijaiye for sale,320.0,4,4,Semi-furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Lagos State,enterprise,110000000
"3bdrm Bungalow in Along Prescott, Lokogoma for sale",512.0,3,3,Unfurnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja(FCT),False,65000000
5bdrm Duplex in Guzape District for sale,600.0,5,5,Semi-furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja(FCT),False,700000000
Furnished 4bdrm Duplex in Alapere for sale,400.0,4,4,Furnished,"Kosofe, Ketu-Alapere",Ketu-Alapere,Lagos State,enterprise,180000000
5bdrm Duplex in Lokogoma for sale,800.0,5,6,Unfurnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja(FCT),diamond,100000000
4bdrm Duplex in Galadimawa. for sale,475.0,4,5,Unfurnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja(FCT),diamond,95000000
"6bdrm Duplex in Gowan Estate Egbeda, Alimosho for sale",620.0,6,5,Unfurnished,"Lagos State, Alimosho",Alimosho,Lagos State,diamond,125000000
6bdrm Block of Flats in Ijaniki Town Off for sale,1000.0,6,5,Unfurnished,"Ojo, Iba / Ojo",Iba / Ojo,Ojo,diamond,65000000
3bdrm Block of Flats in Ago Okota for sale,650.0,3,4,Semi-furnished,"Isolo, Ago Palace",Ago Palace,Lagos State,diamond,140000000
3bdrm Block of Flats in Surulere for sale,630.0,3,3,Semi-furnished,"Lagos State, Surulere",Surulere,Lagos State,enterprise,190000000
3bdrm Block of Flats in College Road Ogba for sale,630.0,3,2,Semi-furnished,"Lagos State, Ogba",Ogba,Lagos State,enterprise,290000000
"Furnished 4bdrm Duplex in Sliver Estate, Idimu for sale",500.0,4,4,Furnished,"Egbe/Idimu, Idimu",Idimu,Lagos State,enterprise,140000000
4bdrm Duplex in Osapa for sale,200.0,4,6,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos State,vip,250000000
Furnished 4bdrm Duplex in Asokoro for sale,300.0,4,5,Furnished,"Abuja (FCT), Asokoro",Asokoro,Abuja(FCT),diamond,550000000
"3bdrm Bungalow in Fatade Area Baruwa, Alimosho for sale",650.0,3,3,Unfurnished,"Lagos State, Alimosho",Alimosho,Lagos State,diamond,30000000
3bdrm Block of Flats in Maryland Ikeja for sale,1675.0,3,3,Semi-furnished,"Lagos State, Ikeja",Ikeja,Lagos State,diamond,750000000
"4bdrm Duplex in Baruwa Ipaja, Alimosho for sale",650.0,4,5,Semi-furnished,"Lagos State, Alimosho",Alimosho,Lagos State,diamond,70000000
Furnished 4bdrm Duplex in Akobo for sale,400.0,4,4,Furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,450000000
12bdrm Block of Flats in Rind Road for sale,839.0,12,6,Semi-furnished,"Ibadan, Rind Road",Rind Road,Ibadan,enterprise,120000000
"2bdrm Block of Flats in Command, Alimosho, Iyana Ipaja for sale",600.0,2,2,Semi-furnished,"Ipaja, Iyana Ipaja",Iyana Ipaja,Lagos State,enterprise,85000000
"3bdrm Block of Flats in Jonathan Coker, for sale",600.0,3,3,Semi-furnished,"Agege, Fagba",Fagba,Lagos State,enterprise,100000000
4bdrm Duplex in Jahi for sale,650.0,4,4,Semi-furnished,"Abuja (FCT), Jahi",Jahi,Abuja(FCT),False,580000000
3bdrm Bungalow in Gwarinpa for sale,600.0,3,4,Semi-furnished,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja(FCT),diamond,195000000
Furnished 5bdrm Duplex in Adeniyi Jones Ikeja for sale,1800.0,5,5,Furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,diamond,750000000
"3bdrm Duplex in Shagari Estate Ipaja, Alimosho for sale",600.0,3,3,Semi-furnished,"Lagos State, Alimosho",Alimosho,Lagos State,diamond,200000000
Furnished 4bdrm Duplex in Bodija for sale,450.0,4,4,Furnished,"Ibadan, Bodija",Bodija,Ibadan,enterprise,325000000
Furnished 3bdrm Block of Flats in Akobo for sale,300.0,3,3,Furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,120000000
"Furnished 4bdrm Duplex in Thomas Estate, Ajah for sale",650.0,4,4,Furnished,"Lagos State, Ajah",Ajah,Lagos State,basic,95000000
6bdrm Block of Flats in Karu for sale,1000.0,6,12,Unfurnished,"Abuja (FCT), Karu",Karu,Abuja(FCT),diamond,100000000
4bdrm Duplex in Magodo Phase 1 for sale,400.0,4,4,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,420000000
"3bdrm Block of Flats in Clem Ijaiye Ojokoro, Abule Egba for sale",600.0,3,2,Semi-furnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,enterprise,100000000
5bdrm Duplex in Omole Phase 1 for sale,300.0,5,5,Semi-furnished,"Ikeja, Agidingbi",Agidingbi,Lagos State,enterprise,550000000
4bdrm Duplex in Galadimawa for sale,700.0,4,5,Unfurnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja(FCT),diamond,270000000
5bdrm Duplex in Ogudu Gra for sale,400.0,5,5,Semi-furnished,"Ogudu, Ogudu GRA",Ogudu GRA,Lagos State,diamond,400000000
4bdrm Duplex in Adeniyi Jones Ikeja for sale,350.0,4,5,Semi-furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,diamond,430000000
"Furnished 5bdrm Duplex in Anitere Avenue, Ikotun / Ikotun/Igando",1200.0,5,2,Furnished,"Ikotun/Igando, Ikotun / Ikotun/Igando",Ikotun / Ikotun/Igando,Lagos State,diamond,80000000
Furnished 5bdrm Duplex in Magodo Phase 2 for sale,450.0,5,5,Furnished,"Lagos State, Magodo",Magodo,Lagos State,diamond,285000000
3bdrm Block of Flats in Surulere for Sale,520.0,3,3,Semi-furnished,"Lagos State, Surulere",Surulere,Lagos State,enterprise,60000000
"4bdrm Duplex in Kayfarm Estate, Ifako-Ogba for sale",400.0,4,4,Semi-furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Lagos State,enterprise,400000000
"Furnished 3bdrm Apartment in River Park Estate, Lugbe District for sale",1500.0,3,4,Furnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja(FCT),False,85000000
Furnished 3bdrm Bungalow in Ibeshe for sale,550.0,3,3,Furnished,"Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Lagos State,enterprise,50000000
2bdrm Bungalow in Ayobo for sale,350.0,2,3,Semi-furnished,"Ipaja, Ayobo",Ayobo,Lagos State,diamond,55000000
6bdrm Duplex in Ago Palace for Sale,700.0,6,5,Unfurnished,"Isolo, Ago Palace",Ago Palace,Lagos State,diamond,250000000
10bdrm Block of Flats in Akala Express for sale,600.0,10,10,Semi-furnished,"Ibadan, Akala Express",Akala Express,Ibadan,enterprise,110000000
"5bdrm Duplex in Diamond Estate, Sangotedo for sale",400.0,5,5,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,vip,500000000
5bdrm Duplex in Lekki for Sale,850.0,5,5,Semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,800000000
4bdrm Apartment in Uyo for sale,500.0,4,4,Unfurnished,"Akwa Ibom State, Uyo",Uyo,Akwa Ibom State,False,19000000
4bdrm Duplex in Ogudu Gra Ojota for sale,350.0,4,3,Semi-furnished,"Ojota, Ogudu Road",Ogudu Road,Lagos State,enterprise,550000000
"8bdrm Block of Flats in Olude Estate Oluyole, Apata for sale",600.0,8,8,Semi-furnished,"Ibadan, Apata",Apata,Ibadan,diamond,160000000
3bdrm Block of Flats in Pipeline Bus Stop for sale,700.0,3,3,Unfurnished,"Oyo State, Egbeda",Egbeda,Oyo State,diamond,150000000
"3bdrm Block of Flats in Costom Bus Stop, Alimosho for sale",650.0,3,3,Unfurnished,"Lagos State, Alimosho",Alimosho,Lagos State,diamond,150000000
5bdrm Duplex in Okota for sale,600.0,5,5,Unfurnished,"Isolo, Okota",Okota,Lagos State,diamond,200000000
"4bdrm Duplex in Ikeja Gra, Lagos for sale",650.0,4,5,Semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,diamond,380000000
"3bdrm Block of Flats in Unity Estate Egbeda, Alimosho for sale",650.0,3,3,Unfurnished,"Lagos State, Alimosho",Alimosho,Lagos State,diamond,250000000
5bdrm Duplex in Ago Palace for sale,350.0,5,5,Semi-furnished,"Isolo, Ago Palace",Ago Palace,Lagos State,diamond,180000000
5bdrm Block of Flats in Ago for Sale,620.0,5,5,Semi-furnished,"Isolo, Ago Palace",Ago Palace,Lagos State,diamond,80000000
2bdrm Apartment in Ogba Ikeja for sale,650.0,2,3,Semi-furnished,"Lagos State, Ikeja",Ikeja,Lagos State,diamond,120000000
8bdrm Bungalow in Apata for sale,450.0,8,5,Semi-furnished,"Ibadan, Apata",Apata,Ibadan,enterprise,30000000
"2bdrm Block of Flats in Harmony Zone Estate, for sale",780.0,2,3,Semi-furnished,"Ojodu, Magodo Isheri",Magodo Isheri,Lagos State,diamond,600000000
3bdrm Bungalow in Galadimawa for sale,650.0,3,3,Unfurnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja(FCT),False,180000000
"3bdrm Block of Flats in Ikotun Abaranje, Alimosho for sale",650.0,3,3,Unfurnished,"Lagos State, Alimosho",Alimosho,Lagos State,diamond,90000000
5bdrm Bungalow in Apata for sale,500.0,5,5,Semi-furnished,"Ibadan, Apata",Apata,Ibadan,enterprise,30000000
"4bdrm Duplex in Lekki Pearl Gardens, Sangotedo for sale",320.0,4,4,Semi-furnished,"Ajah, Sangotedo",Sangotedo,Lagos State,enterprise,150000000
"5bdrm Duplex in Unilag Estate Magodo, Berger for sale",400.0,5,5,Semi-furnished,"Ojodu, Berger",Berger,Lagos State,enterprise,370000000
"3bdrm Block of Flats in Ijaiye Ojokoro Lcda, Ifako for sale",630.0,3,3,Semi-furnished,"Agege, Ifako",Ifako,Lagos State,enterprise,190000000
Furnished 4bdrm Duplex in Idu for sale,550.0,4,4,Furnished,"Jiwa, Idu",Idu,Abuja(FCT),False,225000000
4bdrm Duplex in Ikeja for sale,300.0,4,4,Semi-furnished,"Lagos State, Ikeja",Ikeja,Lagos State,enterprise,750000000
"Furnished 3bdrm Bungalow in Karinkapo Estate, Akala Express for sale",450.0,3,3,Furnished,"Ibadan, Akala Express",Akala Express,Ibadan,enterprise,42000000
"4bdrm Duplex in Carlton Gate, Akobo for sale",450.0,4,4,Semi-furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,250000000
"5bdrm Duplex in View Estate, Ikota for sale",600.0,5,5,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,vip,650000000
3bdrm Block of Flats in Surulere for sale,630.0,3,3,Semi-furnished,"Lagos State, Surulere",Surulere,Lagos State,enterprise,150000000
5bdrm Duplex in Apapa for sale,500.0,5,5,Semi-furnished,"Lagos State, Apapa",Apapa,Lagos State,enterprise,450000000
4bdrm Duplex in Guzape District for sale,1000.0,4,4,Semi-furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja(FCT),False,620000000
3bdrm Apartment in Wuye for sale,400.0,3,4,Unfurnished,"Abuja (FCT), Wuye",Wuye,Abuja(FCT),diamond,120000000
"3bdrm Apartment in Gbagada, Millenuim/UPS for sale",650.0,3,3,Semi-furnished,"Gbagada, Millenuim/UPS",Millenuim/UPS,Lagos State,enterprise,250000000
"Furnished 4bdrm Duplex in Carlton Gate Estate, Akobo for sale",350.0,4,4,Furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,250000000
Furnished 4bdrm Bungalow in Akobo for sale,450.0,4,4,Furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,65000000
Furnished 4bdrm Duplex in Jericho for sale,500.0,4,4,Furnished,"Ibadan, Jericho",Jericho,Ibadan,enterprise,140000000
"4bdrm Duplex in Light Estate, Sangotedo for sale",600.0,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,vip,150000000
Furnished 5bdrm Duplex in Lekki Chevron for sale,520.0,5,4,Furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,420000000
"4bdrm Block of Flats in Jankara Ijaiye, Ifako for sale",600.0,4,3,Semi-furnished,"Agege, Ifako",Ifako,Lagos State,enterprise,135000000
3bdrm Block of Flats in Obawole Ifako Ijaiye for sale,630.0,3,2,Semi-furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Lagos State,enterprise,220000000
"3bdrm Apartment in Yaba, Akoka for sale",200.0,3,4,Unfurnished,"Yaba, Akoka",Akoka,Lagos State,vip,150000000
"5bdrm Duplex in Garden Estate, Chevron for sale",450.0,5,5,Unfurnished,"Lekki, Chevron",Chevron,Lagos State,vip,400000000
5bdrm Duplex in Lekki for Sale,600.0,5,5,Semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,450000000
3bdrm Block of Flats in Alakuko Ifako for sale,1625.0,3,3,Unfurnished,"Agege, Ifako",Ifako,Lagos State,enterprise,330000000
4bdrm Bungalow in Odo Oba for sale,500.0,4,4,Semi-furnished,"Ibadan, Odo Oba",Odo Oba,Ibadan,enterprise,35000000
"2bdrm Apartment in Ajah Adesanya, Off Lekki-Epe Expressway for sale",300.0,2,2,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,diamond,90000000
Furnished 4bdrm Duplex in Akala Express for sale,400.0,4,4,Furnished,"Ibadan, Akala Express",Akala Express,Ibadan,enterprise,150000000
Furnished 4bdrm Duplex in Akobo for sale,650.0,4,4,Furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,350000000
Furnished 4bdrm Duplex in Akobo for sale,400.0,4,4,Furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,290000000
"5bdrm Duplex in Maven Court 2, Lekki for Sale",500.0,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,150000000
"3bdrm Bungalow in Pentville Estate, Lokogoma for sale",1500.0,3,3,Semi-furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja(FCT),False,99999999
"3bdrm Duplex in Carlton Gate, Akobo for sale",250.0,3,3,Semi-furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,160000000
Furnished 3bdrm Block of Flats in Fagba Ifako Ijaiye for sale,800.0,3,2,Furnished,"Agege, Fagba",Fagba,Lagos State,enterprise,150000000
3bdrm Duplex in Ajoke Estate Fagba for sale,125.0,3,3,Semi-furnished,"Agege, Fagba",Fagba,Lagos State,enterprise,150000000
4bdrm Duplex in Lugbe District for sale,600.0,4,4,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja(FCT),False,200000000
"3bdrm Bungalow in Close To Jubilation, Lokogoma for sale",500.0,3,3,Semi-furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja(FCT),False,180000000
4bdrm Duplex in Bodija for sale,450.0,4,4,Semi-furnished,"Ibadan, Bodija",Bodija,Ibadan,enterprise,200000000
8bdrm Block of Flats in Oluyole Estate for sale,510.0,8,8,Semi-furnished,"Ibadan, Oluyole Estate",Oluyole Estate,Ibadan,enterprise,220000000
"4bdrm Duplex in Ollve Estate, Sangotedo for sale",600.0,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,vip,190000000
3bdrm Apartment in Victoria Island for sale,220.0,3,3,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,enterprise,250000000
Furnished 4bdrm Duplex in Ikeja for sale,800.0,4,4,Furnished,"Lagos State, Ikeja",Ikeja,Lagos State,enterprise,650000000
Furnished 18bdrm Apartment in Agodi for sale,700.0,18,18,Furnished,"Ibadan, Agodi",Agodi,Ibadan,enterprise,80000000
4bdrm Duplex in Gaduwa for sale,780.0,4,4,Unfurnished,"Abuja (FCT), Gaduwa",Gaduwa,Abuja(FCT),False,150000000
5bdrm Duplex in Ikeja for sale,500.0,5,5,Semi-furnished,"Lagos State, Ikeja",Ikeja,Lagos State,enterprise,850000000
3bdrm Block of Flats in Lekki for sale,200.0,3,3,Semi-furnished,"Lagos State, Lekki",Lekki,Lagos State,enterprise,250000000
"6bdrm Bungalow in Emmanuel Estate, Idishin for sale",500.0,6,6,Unfurnished,"Ibadan, Idishin",Idishin,Ibadan,enterprise,55000000
"5bdrm Duplex in Light Estate, Sangotedo for sale",600.0,5,6,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,vip,300000000
Furnished 4bdrm Bungalow in Lugbe District for sale,600.0,4,4,Furnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja(FCT),False,120000000
Furnished 4bdrm Duplex in Jericho Hill Estate for sale,470.0,4,4,Furnished,"Ibadan, Jericho",Jericho,Ibadan,enterprise,250000000
"Furnished 4bdrm Bungalow in City Park And, Egbeda / Egbeda for sale",450.0,4,4,Furnished,"Egbeda, Egbeda / Egbeda",Egbeda / Egbeda,Lagos State,enterprise,110000000
2bdrm Block of Flats in Ajibode for sale,629.0,2,2,Unfurnished,"Ibadan, Ajibode",Ajibode,Ibadan,enterprise,45000000
Furnished 4bdrm Duplex in Akobo for sale,450.0,4,4,Furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,270000000
"4bdrm Duplex in Light Estate, Sangotedo for sale",600.0,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,vip,260000000
"4bdrm Duplex in View Estate, Sangotedo for sale",600.0,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,vip,170000000
2bdrm Apartment in Lekki Phase1 for sale,300.0,2,3,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,vip,280000000
Furnished 4bdrm Duplex in Ikeja for sale,400.0,4,4,Furnished,"Lagos State, Ikeja",Ikeja,Lagos State,enterprise,500000000
4bdrm Duplex in Oluyole for sale,400.0,4,4,Semi-furnished,"Oyo State, Oluyole",Oluyole,Oyo State,enterprise,250000000
"Furnished 4bdrm Duplex in Olapade Agoro , Oluyole for sale",500.0,4,4,Furnished,"Oyo State, Oluyole",Oluyole,Oyo State,enterprise,330000000
20bdrm Block of Flats in CHallenge / Ibadan for sale,3000.0,20,20,Semi-furnished,"Ibadan, CHallenge / Ibadan",CHallenge / Ibadan,Ibadan,enterprise,400000000
"5bdrm Duplex in Anarock City Estate, Lugbe District for sale",502.0,5,5,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja(FCT),False,190000000
4bdrm Duplex in Lekki Phase1 for sale,300.0,4,6,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,vip,400000000
4bdrm Duplex in Ogudu GRA for sale,220.0,4,4,Semi-furnished,"Ogudu, Ogudu GRA",Ogudu GRA,Lagos State,enterprise,550000000
2bdrm Bungalow in Wakajaye for sale,250.0,2,2,Semi-furnished,"Ibadan, Wakajaye",Wakajaye,Ibadan,enterprise,13000000
Furnished 4bdrm Duplex in Oluyole for sale,450.0,4,4,Furnished,"Oyo State, Oluyole",Oluyole,Oyo State,enterprise,260000000
"3bdrm Duplex in Light Estate, Sangotedo for sale",600.0,3,3,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,vip,100000000
"4bdrm Duplex in Ajah Abraham, Off Lekki-Epe Expressway for sale",200.0,4,4,Unfurnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Lagos State,diamond,170000000
Furnished 2bdrm Apartment in Lekki Phase Ll for sale,3000.0,2,2,Furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos State,vip,92000000
"5bdrm Bungalow in Akoto Estate, Akala Express for sale",500.0,5,5,Semi-furnished,"Ibadan, Akala Express",Akala Express,Ibadan,enterprise,45000000
"Furnished 4bdrm Duplex in Carlton Gate, Akobo for sale",450.0,4,4,Furnished,"Ibadan, Akobo",Akobo,Ibadan,enterprise,220000000
3bdrm Bungalow in Along Prescott for sale,1750.0,3,3,Unfurnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja(FCT),False,135000000
